Time;Temperatura
07/12/2024 08:45;31.9 °C
07/12/2024 09:00;32.6 °C
07/12/2024 09:15;33.0 °C
07/12/2024 09:30;33.9 °C
07/12/2024 09:45;35.4 °C
07/12/2024 10:00;36.3 °C
07/12/2024 10:15;35.0 °C
07/12/2024 10:30;34.8 °C
07/12/2024 10:45;33.9 °C
07/12/2024 11:00;33.7 °C
07/12/2024 11:15;33.9 °C
07/12/2024 11:30;33.8 °C
07/12/2024 11:45;33.7 °C
07/12/2024 12:00;34.4 °C
07/12/2024 12:15;34.8 °C
07/12/2024 12:30;34.6 °C
07/12/2024 12:45;35.3 °C
07/12/2024 13:00;35.7 °C
07/12/2024 13:15;37.3 °C
07/12/2024 13:30;38.5 °C
07/12/2024 13:45;37.7 °C
07/12/2024 14:00;37.0 °C
07/12/2024 14:15;36.7 °C
07/12/2024 14:30;36.7 °C
07/12/2024 14:45;36.7 °C
07/12/2024 15:00;35.8 °C
07/12/2024 15:15;35.6 °C
07/12/2024 15:30;36.2 °C
07/12/2024 15:45;36.5 °C
07/12/2024 16:00;36.0 °C
07/12/2024 16:15;34.6 °C
07/12/2024 16:30;33.8 °C
07/12/2024 16:45;33.1 °C
07/12/2024 17:00;33.2 °C
07/12/2024 17:15;32.9 °C
07/12/2024 17:30;32.6 °C
07/12/2024 17:45;32.3 °C
07/12/2024 18:00;32.0 °C
07/12/2024 18:15;31.4 °C
07/12/2024 18:30;31.4 °C
07/12/2024 18:45;31.9 °C
07/12/2024 19:00;30.2 °C
07/12/2024 19:15;29.2 °C
07/12/2024 19:30;28.6 °C
07/12/2024 19:45;29.3 °C
07/12/2024 20:00;29.0 °C
07/12/2024 20:15;28.2 °C
07/12/2024 20:30;27.8 °C
07/12/2024 20:45;27.4 °C
07/12/2024 21:00;27.8 °C
07/12/2024 21:15;27.8 °C
07/12/2024 21:30;28.7 °C
07/12/2024 21:45;30.1 °C
07/12/2024 22:00;30.6 °C
07/12/2024 22:15;32.1 °C
07/12/2024 22:30;33.3 °C
07/12/2024 22:45;33.5 °C
07/12/2024 23:00;35.0 °C
07/12/2024 23:15;34.6 °C
07/12/2024 23:30;33.9 °C
07/12/2024 23:45;34.8 °C
08/12/2024 00:00;37.7 °C
08/12/2024 00:15;37.6 °C
08/12/2024 00:30;40.3 °C
08/12/2024 00:45;38.7 °C
08/12/2024 01:00;37.3 °C
08/12/2024 01:15;36.6 °C
08/12/2024 01:30;33.8 °C
08/12/2024 01:45;31.5 °C
08/12/2024 02:00;30.7 °C
08/12/2024 02:15;29.6 °C
08/12/2024 02:30;29.4 °C
08/12/2024 02:45;29.4 °C
08/12/2024 03:00;30.8 °C
08/12/2024 03:15;31.7 °C
08/12/2024 03:30;32.3 °C
08/12/2024 03:45;32.5 °C
08/12/2024 04:00;32.6 °C
08/12/2024 04:15;32.1 °C
08/12/2024 04:30;32.7 °C
08/12/2024 04:45;32.6 °C
08/12/2024 05:00;32.6 °C
08/12/2024 05:15;32.6 °C
08/12/2024 05:30;32.9 °C
08/12/2024 05:45;33.1 °C
08/12/2024 06:00;34.0 °C
08/12/2024 06:15;34.5 °C
